Series Description,"Consumer loans, large domestically chartered commercial banks, seasonally adjusted","Consumer loans, small domestically chartered commercial banks, seasonally adjusted","Real estate loans, large domestically chartered commercial banks, seasonally adjusted","Real estate loans, small domestically chartered commercial banks, seasonally adjusted",,,,,Series Description
Unit:,Currency,Currency,Currency,Currency,,,,,Unit:
Multiplier:,1000000,1000000,1000000,1000000,,,,,Multiplier:
Currency:,USD,USD,USD,USD,,,,,Currency:
Unique Identifier: ,H8/H8/B1029NLGA,H8/H8/B1029NSMA,H8/H8/B1026NLGA,H8/H8/B1026NSMA,,,,,Unique Identifier: 
Time Period,B1029NLGA,B1029NSMA,B1026NLGA,B1026NSMA,,,,,Time Period
1/2/2019,1178461.5,318775.5,2393272.1,1947364.6,RoC CL ,ROC CL S,RoC RE ,RoC RE S,1/2/2019
1/9/2019,1180598.9,319897.9,2389726.6,1949976.3,-2137.4,-1122.4,3545.5,-2611.7,1/9/2019
1/16/2019,1180133.7,319839.1,2393654.4,1951749.7,465.2,58.8,-3927.8,-1773.4,1/16/2019
1/23/2019,1181915.2,320435.8,2397433,1954072.6,-1781.5,-596.7,-3778.6,-2322.9,1/23/2019
1/30/2019,1185486.4,321216.6,2393410.6,1956403.3,-3571.2,-780.8,4022.4,-2330.7,1/30/2019
2/6/2019,1185269.9,321620.3,2392064.6,1958394.1,216.5,-403.7,1346,-1990.8,2/6/2019
2/13/2019,1186574.1,320944.4,2392919.9,1959530.7,-1304.2,675.9,-855.3,-1136.6,2/13/2019
2/20/2019,1188127,321348.2,2398319.1,1968033.7,-1552.9,-403.8,-5399.2,-8503,2/20/2019
2/27/2019,1190442.7,321751.2,2400484.7,1966265,-2315.7,-403,-2165.6,1768.7,2/27/2019
3/6/2019,1189505.1,322324.6,2397815.9,1968974.3,937.6,-573.4,2668.8,-2709.3,3/6/2019
3/13/2019,1191348.7,322720.5,2399420.2,1968132.3,-1843.6,-395.9,-1604.3,842,3/13/2019
3/20/2019,1193672.2,322771.2,2407071.3,1972017.3,-2323.5,-50.7,-7651.1,-3885,3/20/2019
3/27/2019,1195262.2,322913,2398190.4,1973530.5,-1590,-141.8,8880.9,-1513.2,3/27/2019
